name,MVP,TripleCrown
"Anaheim Angels",3,0
"Arizona Diamondbacks",0,1
"Atlanta Braves",10,0
"Baltimore Orioles",9,1
"Buffalo Bisons",0,1
"Boston Americans",25,8
"Brooklyn Atlantics",0,1
"Brooklyn Bridegrooms",10,3
"Boston Reds",0,1
"Boston Red Caps",12,9
"California Angels",6,1
"Chicago White Stockings",0,1
"Chicago White Sox",14,2
"Chicago Cubs",21,9
"Chicago Pirates",0,2
"Cincinnati Reds",20,7
"Cleveland Spiders",0,2
"Cleveland Indians",17,7
"Colorado Rockies",3,0
"Detroit Tigers",12,2
"Florida Marlins",3,0
"Hartford Dark Blues",0,1
"Houston Colt .45's",9,3
"Indianapolis Hoosiers",0,1
"Indianapolis Hoosiers",0,2
"Kansas City Athletics",3,0
"Kansas City Royals",7,0
"Los Angeles Angels",1,0
"Los Angeles Dodgers",12,3
"Louisville Eclipse",0,1
"Louisville Colonels",0,1
"Minnesota Twins",6,2
"Milwaukee Braves",2,0
"Milwaukee Brewers",4,0
"Milwaukee Brewers",0,1
"Montreal Expos",5,2
"New York Gothams",12,6
"New York Metropolitans",0,1
"New York Yankees",26,8
"New York Mets",10,3
"New York Giants",0,1
"Oakland Athletics",18,0
"Philadelphia Athletics",9,5
"Philadelphia Quakers",19,9
"Pittsburg Alleghenys",14,5
"Providence Grays",0,2
"San Diego Padres",7,1
"Seattle Mariners",6,1
"San Francisco Giants",12,2
"St. Louis Brown Stockings",0,1
"St. Louis Browns",6,2
"St. Louis Browns",26,6
"Tampa Bay Devil Rays",1,1
"Texas Rangers",7,0
"Toronto Blue Jays",8,1
"Troy Trojans",0,1
"Worcester Ruby Legs",0,2
"Washington Senators",8,3
"Washington Senators",3,0
"Washington Nationals",0,1
"Washington Blue Legs",0,1
"Washington Statesmen",0,1
