Measures,Type,Measuring
KBIT_verbalstd,Behavioral,Crystallized_Intelligence
KBIT_nonverbalstd,Behavioral,Fluid_Intelligence
KBIT_overall,Behavioral,IQ
WJ3_raw,Behavioral,Phonological
WJ3_std,Behavioral,Phonological
TONI_raw,Behavioral,Fluid_Intelligence
TONI_std,Behavioral,Fluid_Intelligence
CNREPtotalraw,Behavioral,Phonological
Caplan_ACC,Behavioral,Grammar
Caplan_RT,Behavioral,Grammar
CVMT_dPrime,Behavioral,Long_Term_Memory
PCT_ACC,Behavioral,Procedural_Memory
PCT_Opt_Acc,Behavioral,Procedural_Memory
RSPAN_Load_%3,Behavioral,Working_Memory
RSPAN_Load_%4,Behavioral,Working_Memory
RSPAN_Load_%5,Behavioral,Working_Memory
RSPAN_Load_%6,Behavioral,Working_Memory
RSPAN_Load_%7,Behavioral,Working_Memory
RSPAN_LetterScore,Behavioral,Working_Memory
RSPAN_sent_acc,Behavioral,Working_Memory
MLAT_Spelling_Clues_Raw,Behavioral,Language
MLAT_WordsSent_Raw,Behavioral,Language
MLAT_PairedAssoc_Raw,Behavioral,Long_Term_Memory
MLAT_Total_Raw,Behavioral,Language
MLAT_Total_PercAir,Behavioral,Language
MLAT_Total_Perc,Behavioral,Language
statcat_WS,Behavioral,Procedural_Memory
statcat_3words,Behavioral,Procedural_Memory
statcat_2words,Behavioral,Procedural_Memory
rotary_delta,Behavioral,Procedural_Memory
mirror_deltaE,Behavioral,Procedural_Memory
mirror_deltaT,Behavioral,Procedural_Memory
CVLT_ListATotal_raw,Behavioral,Working_Memory and Long_Term_Memory
CVLTListATotal_Scaled,Behavioral,Working_Memory and Long_Term_Memory
CVLT_ListA_ShortDelay_raw,Behavioral,Working_Memory and Long_Term_Memory
CVLT_ListA_ShortDelay_scaled,Behavioral,Working_Memory and Long_Term_Memory
CVLT_LongDelay_raw,Behavioral,Working_Memory and Long_Term_Memory
CVLT_LongDelayScaled,Behavioral,Working_Memory and Long_Term_Memory
CVLT_LongDelayHIT,Behavioral,Working_Memory and Long_Term_Memory
CVLT_Discriminability_Recognition,Behavioral,Working_Memory and Long_Term_Memory
Conscientiousness,Behavioral,Questionnaire
DWECK,Behavioral,Questionnaire
GRIT,Behavioral,Questionnaire
Music_exp_years,Behavioral,Questionnaire
Videogame_Score,Behavioral,Questionnaire
HILAB_Paired.Associates,Behavioral,Long_Term_Memory
HILAB_Serial.Reaction.Time,Behavioral,Procedural_Memory
HILAB_Processing.Speed.SRT,Behavioral,Procedural_Memory
HILAB_SRT.Anticipations,Behavioral,Procedural_Memory
HILAB_Phonemic.Disc,Behavioral,Phonological
HILAB_MixCost.RT,Behavioral,Fluid_Intelligence
HILAB_SwitchCost.RT,Behavioral,Fluid_Intelligence
HILAB_Processing.Speed.TS,Behavioral,Fluid_Intelligence
HILAB_Letter.Span,Behavioral,Working_Memory
HILAB_Running.Span,Behavioral,Working_Memory
HILAB_Stroop.RT,Behavioral,Fluid_Intelligence
HILAB_ALTM,Behavioral,Grammar
HILAB_Phonemic.Cat,Behavioral,Phonological
HILAB_PhonCat.Learning,Behavioral,Phonological
HILAB_NonWord.Span,Behavioral,Working_Memory
HILAB_Simon,Behavioral,Fluid_Intelligence
vocab_ACC_1,Training,Vocabulary
vocab_ACC_2,Training,Vocabulary
vocab_ACC_3,Training,Vocabulary
vocab_ACC_4,Training,Vocabulary
vocab_ACC,Training,Vocabulary
gramm_ACC_1,Training,Grammar
gramm_ACC_2,Training,Grammar
gramm_ACC_3,Training,Grammar
gramm_ACC_4,Training,Grammar
SAT_semantic_dprime_1,Training,Grammar
SAT_semantic_dprime_2,Training,Grammar
SAT_semantic_dprime_3,Training,Grammar
SAT_semantic_dprime_4,Training,Grammar
SAT_syntax_dprime_1,Training,Grammar
SAT_syntax_dprime_2,Training,Grammar
SAT_syntax_dprime_3,Training,Grammar
SAT_syntax_dprime_4,Training,Grammar
SAT_semantic_ACC_1,Training,Grammar
SAT_semantic_ACC_2,Training,Grammar
SAT_semantic_ACC_3,Training,Grammar
SAT_semantic_ACC_4,Training,Grammar
SAT_syntax_ACC_1,Training,Grammar
SAT_syntax_ACC_2,Training,Grammar
SAT_syntax_ACC_3,Training,Grammar
SAT_syntax_ACC_4,Training,Grammar
SentMRI_before_english,MRI,Language
SentMRI_before_mandarin,MRI,Language
SentMRI_before_silly,MRI,Language
SentMRI_trained_english,MRI,Language
SentMRI_trained_mandarin,MRI,Language
SentMRI_trained_silly,MRI,Language
EEG_N4_CZ,EEG,Grammar
EEG_N4_central8,EEG,Grammar
EEG_P6_PZ,EEG,Grammar
EEG_P6_posterior7,EEG,Grammar
gramm_ACC_9,Training,Grammar
SAT_semantics_9,Training,Grammar
SAT_synax_9,Training,Grammar
